"Series";"Time";"Value"
"Discord Social Volume";"2018-03-31T05:30:00+05:30";0
"Discord Social Volume";"2018-04-01T05:30:00+05:30";2
"Discord Social Volume";"2018-04-02T05:30:00+05:30";3
"Discord Social Volume";"2018-04-03T05:30:00+05:30";0
"Discord Social Volume";"2018-04-04T05:30:00+05:30";1
"Discord Social Volume";"2018-04-05T05:30:00+05:30";1
"Discord Social Volume";"2018-04-06T05:30:00+05:30";6
"Discord Social Volume";"2018-04-07T05:30:00+05:30";0
"Discord Social Volume";"2018-04-08T05:30:00+05:30";8
"Discord Social Volume";"2018-04-09T05:30:00+05:30";7
"Discord Social Volume";"2018-04-10T05:30:00+05:30";1
"Discord Social Volume";"2018-04-11T05:30:00+05:30";2
"Discord Social Volume";"2018-04-12T05:30:00+05:30";1
"Discord Social Volume";"2018-04-13T05:30:00+05:30";0
"Discord Social Volume";"2018-04-14T05:30:00+05:30";1
"Discord Social Volume";"2018-04-15T05:30:00+05:30";0
"Discord Social Volume";"2018-04-16T05:30:00+05:30";1
"Discord Social Volume";"2018-04-17T05:30:00+05:30";1
"Discord Social Volume";"2018-04-18T05:30:00+05:30";0
"Discord Social Volume";"2018-04-19T05:30:00+05:30";0
"Discord Social Volume";"2018-04-20T05:30:00+05:30";3
"Discord Social Volume";"2018-04-21T05:30:00+05:30";0
"Discord Social Volume";"2018-04-22T05:30:00+05:30";0
"Discord Social Volume";"2018-04-23T05:30:00+05:30";0
"Discord Social Volume";"2018-04-24T05:30:00+05:30";2
"Discord Social Volume";"2018-04-25T05:30:00+05:30";2
"Discord Social Volume";"2018-04-26T05:30:00+05:30";7
"Discord Social Volume";"2018-04-27T05:30:00+05:30";0
"Discord Social Volume";"2018-04-28T05:30:00+05:30";0
"Discord Social Volume";"2018-04-29T05:30:00+05:30";0
"Discord Social Volume";"2018-04-30T05:30:00+05:30";1
"Discord Social Volume";"2018-05-01T05:30:00+05:30";6
"Discord Social Volume";"2018-05-02T05:30:00+05:30";0
"Discord Social Volume";"2018-05-03T05:30:00+05:30";1
"Discord Social Volume";"2018-05-04T05:30:00+05:30";0
"Discord Social Volume";"2018-05-05T05:30:00+05:30";0
"Discord Social Volume";"2018-05-06T05:30:00+05:30";0
"Discord Social Volume";"2018-05-07T05:30:00+05:30";0
"Discord Social Volume";"2018-05-08T05:30:00+05:30";1
"Discord Social Volume";"2018-05-09T05:30:00+05:30";2
"Discord Social Volume";"2018-05-10T05:30:00+05:30";1
"Discord Social Volume";"2018-05-11T05:30:00+05:30";0
"Discord Social Volume";"2018-05-12T05:30:00+05:30";4
"Discord Social Volume";"2018-05-13T05:30:00+05:30";0
"Discord Social Volume";"2018-05-14T05:30:00+05:30";0
"Discord Social Volume";"2018-05-15T05:30:00+05:30";1
"Discord Social Volume";"2018-05-16T05:30:00+05:30";1
